artist,title,Lyrics
Bob Marley & The Wailers,Them Belly Full (But We Hungry),"Them belly full, but we hungry
A hungry mob is a angry mob
A rain a fall, but the dirt it tough
A yut a yook but yood nah nuff
You're going to dance to Jah music, dance
We're going to dance to Jah music, dance, oh-ooh

Forget your troubles and dance
Forget your sorrows and dance
Forget your sickness and dance
Forget your weakness and dance
Cost of living gets so high
Rich and poor they start to cry
Now the weak must get strong
They say, Oh, what a tribulation

Them belly full, but we hungry
A hungry mob is a angry mob
A rain a fall, but the dirt it tough
A pot a cook but the food nah nuff
You're going to dance to Jah music, dance
We're going to dance to Jah music, dance, oh-ooh

A belly full, but them hungry;
A hungry mob is a angry mob
A rain a-fall, but the dutty tough;
A pot a-cook, but the food nah nuff
A hungry man is a angry man;
A rain a-fall, but the dutty tough;
A pot a-cook, but the food na nuff
A rain a-fall, but the dutty tough
A pot a-cook, but the food na nuff
A hungry mob is a angry mob;
A hungry mob is a angry mob"
Bob Marley & The Wailers,Burnin’ and Lootin’,"This morning I woke up in a curfew
O God, I was a prisoner, too - yeah!
Could not recognize the faces standing over me
They were all dressed in uniforms of brutality. (Ay!)
How many rivers do we have to cross
Before we can talk to the boss? (Yeah!)
All that we got, it seems we have lost
We must have really paid the cost
(That's why we going to be)
Burning and a-looting tonight
(Say we going to burn and loot)
Burning and a-looting tonight
(One more thing)
Burning all pollution tonight
(Oh, yeah, yeah)
Burning all illusion tonight
Oh, stop them!

Give me the food and let me grow
Let the Roots Man take a blow
All them drugs going to make you slow now
It's not the music of the ghetto. (Ay!)

Weeping and a-wailing tonight
(Who can stop the tears?)
Weeping and a-wailing tonight
(We've been suffering these long, long-a years!)
Weeping and a-wailing tonight
(Will you say cheer?)
Weeping and a-wailing tonight
(But where?)


We going to be burning and a-looting tonight
(To survive, yeah!)
Burning and a-looting tonight
(Save your baby lives)
Burning all pollution tonight
(Pollution, yeah, yeah!)
Burning all illusion tonight
(Lord-a, Lord-a, Lord-a, Lord!)

Burning and a-looting tonight
Burning and a-looting tonight"
Bob Marley & The Wailers,Who the Cap Fit,"Man to man is so unjust, children
You don't know who to trust
Your worst enemy could be your best friend
And your best friend your worse enemy

Some will eat and drink with you
Then behind them su-su upon you
Only your friend know your secrets
So only he could reveal it
And who the cap fit, let them wear it
Who the cap fit, let them wear it
Said I throw me corn, me no call no fowl
I saying, ""Cook-cook-cook, cluk-cluk-cluk""

Some will hate you, pretend they love you now
Then behind they try to eliminate you
But who Jah bless, no one curse
Thank God, we are past the worse
Hypocrites and parasites
Will come up and take a bite
And if your night should turn to day
A lot of people would run away
And who the stock fit let them wear it
Who the cap fit let them wear it

And then it is going to throw me corn
And then it is going to call no fowl
And then it is going to ""Cook-cook-cook, cluk-cluk-cluk""

Some will eat and drink with you
Then behind them su-su upon you
Only your friend know your secrets
So only he could reveal it
And who the cap fit, let them wear it
Who the cap fit, let them wear it
Said I throw me corn, me no call no fowl
I saying, ""Cook-cook-cook, cluk-cluk-cluk""

Throw me corn (Cook-cook-cook)
Me call no fowl (Cluk-cluk-cluk)"
Bob Marley & The Wailers,Kaya,"Wake up and...
Wake up and...
Wake up and turn I loose
For the rain is falling

Got to have kaya now
Got to have kaya now
Got to have kaya now
For the rain is falling

I'm so high, I even touch the sky
Above the falling rain
I feel so good in my neighbourhood, so
Here I come again

Got to have kaya now
Got to have kaya now
Got to have kaya now
For the rain is falling

I'm so high, I even touch the sky
Above the falling rain
I feel so good in my neighbourhood, so
Here I come again

Got to have kaya now
Got to have kaya now
Got to have kaya now
For the rain is falling

Get up and turn I loose
Wake up and turn I loose
Wake up and turn I loose
For the rain is falling
Kaya man, kaya man
Got to have kaya now
For the rain is, rain is falling
Wake up and turn I loose
Wake up and turn I loose"
Bob Marley & The Wailers,Positive Vibration,"Live if you want to live
(Rastaman vibration, yeah! Positive!)
That's what we got to give!
(I and I vibration yeah! Positive)
Got to have a good vibe!
(Iyaman Iration, yeah! Irie ites!)
Wo-wo-ooh!
(Positive vibration, yeah! Positive!)

If you get down and you quarrel everyday
You are saying prayers to the devils, I say. Wo-oh-ooh!
Why not help one another on the way?
Make it much easier. (Just a little bit easier)

Say you just can't live that negative way
If you know what I mean
Make way for the positive day
Because it's news (new day) - news and days
New time (new time), and if it's a new feeling (new feeling), yeah!
Said it's a new Zion (new sign)
Oh, what a new day!

Picking up?
Are you picking up now?
Jah love - Jah love (protect us)
Jah love - Jah love (protect us)
Jah love - Jah love (protect us)

Live if you want to live
(Rastaman vibration, yeah! Positive!)
That's what we got to give!
(I and I vibration yeah! Positive)
Got to have a good vibe!
(Iyaman Iration, yeah! Irie ites!)
Wo-wo-ooh!
(Positive vibration, yeah! Positive!)

Picking up?
Are you picking up now?
Jah love - Jah love (protect us)
Jah love - Jah love (protect us)
Jah love - Jah love (protect us)"
Bob Marley & The Wailers,Zimbabwe,"Every man got a right to decide his own destiny
And in this judgment there is no partiality
So arm in arms, with arms, we'll fight this little struggle
Cause that's the only way we can, overcome our little trouble
Brother you're right, you're right
You're right, you're right, you're, so right!
We gon' fight (we gon' fight), we'll have to fight (we gon' fight)
We gonna fight (we gon' fight), fight for our rights!
Natty Dread it in-a (Zimbabwe)!
Set it up in (Zimbabwe)!
Mash it up-a in-a Zimbabwe (Zimbabwe)!
Africans a-liberate (Zimbabwe), yeah
No more internal power struggle;
We come together, to overcome, the little trouble
Soon we'll find out who is the real revolutionary
Cause I don't want my people to be contrary
And, brother, you're right, you're right
You're right, you're right, you're, so right
We'll 'ave to fight (we gon' fight), we gonna fight (we gon' fight)
We'll 'ave to fight (we gon' fight), fighting for our rights
Mash it up in-a (Zimbabwe)
Natty trash it in-a (Zimbabwe)
Africans a-liberate Zimbabwe! (Zimbabwe)
I'n'I a-liberate Zimbabwe
(Brother, you're right,) you're right
You're right, you're right, you're, so right
We gon' fight (we gon' fight), we'll 'ave to fight (we gon' fight)
We gonna fight (we gon' fight), fighting for our rights
To divide and rule could only tear us apart
In every man chest, mm - there beats a heart
So soon we'll find out who is, the real revolutionaries
And I don't want my people to be tricked by mercenaries
Brother, you're right, you're right
You're right, you're right, you're, so right
We'll 'ave to fight (we gon' fight), we gonna fight (we gon' fight)
We'll 'ave to fight (we gon' fight), fighting for our rights!
Natty trash it in-a Zimbabwe (Zimbabwe)
Mash it up in-a Zimbabwe (Zimbabwe)
Set it up in-a Zimbabwe (Zimbabwe)
Africans a-liberate Zimbabwe (Zimbabwe)
Africans a-liberate Zimbabwe (Zimbabwe)
Natty dub it in-a Zimbabwe (Zimbabwe)
Set it up in-a Zimbabwe (Zimbabwe)
Africans a-liberate Zimbabwe (Zimbabwe)
Every man got a right to decide his own destiny"
Bob Marley & The Wailers,Turn Your Lights Down Low,"Turn your lights down low
And pull your window curtains
Oh, let Jah moon come shining in
Into our life again
Saying ooh, it's been a long, long time
(Long, long time)
I got this message for you girl
But it seems I was never on time
Still I gotta get through to you girl
On time, on time (word)
I want to give you some love
I want to give you some good, good loving
(Uh, uh, right, uh)
Oh I, oh I, oh I
Yeah I want to give you some good, good loving (uh)

Turn your lights down low
Never ever try to resist, oh no
Let my love come tumbling in
Into our lives again
And ooh, I love you
(I love you, I love you)
And I want you to know right now
(Know right now)
Ooh I love you
(Uh-uh, yeah, uh)
And I want you to know right now (uh)
Because I, that I
I want to give you some love (uh, yeah)
I want to give you some good, good loving
Oh I
I want to give you some good, good loving

I want to give you some good, good loving
I want to give you some love
I want to give you some good, good loving
Oh I, oh I, oh I
I want to give you some good, good loving"
Bob Marley & The Wailers,Crazy Baldheads,"Them crazy, them crazy
We gonna chase those crazy
Out of town
Chase those crazy baldheads
Out of our town

Ah I and I build the cabin
Ah I and I plant the corn
Didn't my people before me
Slave for this country
Now you look me with this corn
Then you eat up all my corn

We gonna chase those crazy
Chase them crazy
Chase those crazy baldheads
Out of town
Sta-diddly doo dit stip stop steal dil ya do stop steal ya diddily dil ya di day
Sta diddly diddly diddly diddly diddly diddly do da dit sta ba do stop stilly di dread

Build your penitentiary, we build your schools
Brainwash education to make us the fools
Hate is your reward for our love
Telling us of your God above

We gonna chase those crazy
Chase those crazy bumpheads
Chase those crazy baldheads
Out of the yown
(Chase those crazy baldheads out of town)

We gonna chase those crazy
Chase those crazy bumpheads
Chase those crazy baldheads
Out of the yown

Here comes the conman
Coming with his con plan
We won't take no bribe
We've got to stay alive

We gonna chase those crazy
Chase them crazy baldheads
Chase those crazy baldheads
Out of the yown"
Bob Marley & The Wailers,Iron Lion Zion,"I'm on the rock and then I check a stock
I have to run like a fugitive to save the life I live
I'm going to be Iron like a Lion in Zion
I'm going to be Iron like a Lion in Zion
Iron Lion Zion

I'm on the run but I have got no gun
See they want to be the star
So they fighting tribal war
And they saying Iron like a Lion in Zion
Iron like a Lion in Zion
Iron Lion Zion

I'm on the rock, running and you running
I take a stock, running like a fugitive
I had to run like a fugitive just to save the life I live
I am going to be Iron like a Lion in Zion
I am going to be Iron like a Lion in Zion

Iron Lion Zion, Iron Lion Zion, Iron Lion Zion
Iron like a Lion in Zion, Iron like a lion in Zion
Iron Like a Lion in Zion"
Bob Marley & The Wailers,Coming in from the Cold,"In this life, in this life, in this life
In this, oh sweet life
We're (we're coming in from the cold)
We're coming in (coming in), coming in (coming in)
Coming in (coming in), coming in (coming in)
Coming in from the cold!

It's you, it's you, it's you I'm talking to
Well, you (it's you), you (it's you), you I'm talking to now
Why do you look so sad, and forsaken?
When one door is closed, don't you know, other is open?
Would you let the system make you kill your brotherman?
No, no, no, no, no, no! No, Dread, no! Woo!
Would you make the system make you kill your brotherman?
(No, Dread, no!)
Would you make the system get on top of your head again?
(No, Dread, no!)
Well, the biggest man you ever did see was - was just a baby

In this life (in this life)
In this (in this life, oh sweet life):
Coming in from the cold!
We're coming in (coming in), coming in-a (coming in)
Coming in (coming in), ooh! (coming in)
Coming in from the cold!
In this life (in this life)
In this (in this life, oh sweet life):
Coming in from the cold!
We're coming in (coming in), coming in-a (coming in)
Coming in (coming in), ooh! (coming in)
Coming in from the cold!

It's you, you, you I'm talking
Well, yes, you, bilyabong you! (it's you)
Ew! - you I'm talking to now
We-e-ell, why do you look so, look so, look so sad
Look so sad and forsaken?
Don't you know: When one door is closed - when one door is closed
Many more is open?
We-e-e-ell, would you let the system get on top of your head again?
No, no, no, no, no, no, no, no, no, Dread, no!
Would you let the system make you kill your brotherman?
No, Dread, no!
We-e-e-ell, would you make the system get on top of your head again?
(No, Dread, no!) No, no, no, no, no, no, no, no, no, no!
Well, the biggest - biggest man you ever - ever
Did-a see was-a was-a once a baby

In this life (in this life)
In this (in this life, oh sweet life):
Coming in from the cold!
We're coming in (coming in), coming in-a (coming in)
Coming in (coming in), ooh! (coming in)
Coming in from the cold!

We're coming in-a, coming in-a, coming in-a, coming in-a!
Yeah, yeah, yeah, yeah, yea-ea-ea-eah!
Coming in from the cold
Coming in (coming in), coming in (coming in)
(coming in) (coming in)
(coming in) from the - from the cold!"
Bob Marley & The Wailers,Pimper’s Paradise,"She love to party, have a good time
She looks so hearty, feeling fine
She loves to smoke, sometime shifting coke
She'll be laughing when there ain't no joke

A pimper's paradise: that's all she was now
A pimper's paradise: that's all she was
A pimper's paradise: that's all she was now
Pimper's paradise: that's all she was
(Every need got an ego to feed
Every need got an ego to feed)

She loves to model up in the latest fashion
She's in the scramble and she moves with passion
She's getting high, trying to fly the sky
Yeah! Now she is bluesin' when there ain't no blues


A pimper's paradise: that's all she was now
A pimper's paradise: that's all she was
A pimper's paradise: I'm sorry for the victim now
Oh, now soon their (pimper's paradise) - soon their heads - soon their
Soon their very heads will bow
(Pimper's paradise) Don't lose track - don't lose track of yourself, oh no!
(Pimper's paradise) Don't be just a stock - a stock on the shelf
Stock on the shelf
(Pimper's paradise) that's all she was now"
Bob Marley & The Wailers,Bad Card,"You a-go tired fe see me face
Can't get me out of the race
Oh, man, you said I'm in your place
And then you draw bad card
A-make you draw bad card
And then you draw bad card
Propaganda spreading over my name
Say you want to bring another life to shame
Oh, man, you just a-playing a game
And then you draw bad card (draw bad card)
A-make you draw bad card (draw bad card)
A-make you draw bad card

I want to disturb my neighbor
Because I'm feeling so right!
I want to turn up my disco
Blow them to full watts tonight, eh!
In a rub-a-dub style, in a rub-a-dub style
In a rub-a-dub style, in a rub-a-dub style

Because we guarding the palace so majestic
Guarding the palace so realistic!

Them a-go tired to see we face (oh yeah!)
Me say them can't get we out of the race
Oh, man, it's just a big disgrace
The way you draw bad card (draw bad card)
The way you make wrong moves (make wrong moves)
The way you draw bad card (draw bad card)
A-make you draw bad card (draw bad card)
A-make you draw bad card
In a rub-a-dub style, rub-a-dub style
In a rub-a-dub style"
Bob Marley & The Wailers,Running Away,"You running and you running
And you running away
But you can't run away from yourself

You must have done (must have done)
Something wrong (something wrong)
Said: you must have done (must have done)
Wo! Something wrong (something wrong)
Why you can't find the
Place where you belong?

Every man thinking his
Burden is the heaviest (heaviest)
Every man thinking his
Burden is the heaviest (heaviest)
You still mean it: Who feels it knows it, Lord
Who feels it knows it, Lord
Who feels it knows it, Lord
Who feels it knows it, Lord

Yeah-eah-eah-eah - from yourself

Brr - you must have done something
Something - something - something
Something you don't want nobody to know about
You must have, Lord - something wrong
What you must have done - you must have done something wrong
Why you can't find where you belong?

Well, well, well, well, ya running away, heh, no -
You running away, ooh, no, no, no
I am not (running away), no, don't say that - don't say that
Because (running away) I am not running away, ooh! (running away)
I have got to protect my life, (running away)
And I don't want to live with no strife. (running away)
It is better to live on the housetop (running away)
Than to live in a house full of confusion. (running away)
So, I made my decision and I left you (running away)
Now you coming to tell me (running away)
That I'm running away (running away)
But it's not true (running away)
I am not running away (running away)"
Bob Marley & The Wailers,Corner Stone,"The stone that the builder refuse
Will always be the head cornerstone, (sing it brother)
The stone that the builder refuse
Will always be the head cornerstone

You're a builder, baby
Here I am, a stone
Don't you think and refuse me
Cause the things people refuse
Are the things they should use
Do you hear me? Hear what I say

The stone that the builder refuse
Will always be the head cornerstone, (tell me why)
The stone that the builder refuse
Will always be the head cornerstone

Here I am baby
I'm a builder's stone
Don't you think and refuse me, listen
The things people refuse
Are the things they should use
Do you hear me? Hear what I say

(The stone that the builder refuse
Will always be the head cornerstone) x2
The stone that the builder refuse (I can be soft as a pillow)
Will always be the head cornerstone (weep like a willow)
The stone that the builder refuse (courage)
Will always be the head cornerstone (brings happiness, don't refuse me)
The stone that the builder refuse (don't you refuse)
Will always be the head cornerstone (don't you, don't you, don't you)"
Bob Marley & The Wailers,The Heathen,"Di heathen back deh 'pon di wall
Di heathen back deh 'pon di wall
Di heathen back deh 'pon di wall
Di heathen back deh 'pon di wall

Rise up fallen fighters
Rise and take your stance again
It's he who fight and run away
Live to fight another day
With di heathen back deh 'pon di wall

Di heathen back deh 'pon di wall (Catch up)
Di heathen back deh 'pon di wall
Di heathen back deh 'pon di wall (Catch up)
Di heathen back deh 'pon di wall
Di heathen back deh 'pon di wall

As a man sow, shall he reap
And I know that talk is cheap
But the harder the battle
A the sweeter Jah victory

Di heathen back deh 'pon di wall
Di heathen back deh 'pon di wall
Di heathen back deh 'pon di wall
Di heathen back deh 'pon di wall
Di heathen back deh 'pon di wall

Rise oh fallen fighter

Rise, Rise, Rise, Rise, Rise, Riseup
Rise and take your stance again
It’s he who fight and run away
Live to fight another day

Di heathen back deh 'pon di wall
Di heathen back deh 'pon di wall
Di heathen back deh 'pon di wall (Catch up)
Di heathen back deh 'pon di wall
Di heathen back deh 'pon di wall (Catch up)
Di heathen back deh 'pon di wall
Di heathen back deh 'pon di wall"
Bob Marley & The Wailers,Small Axe,"Why boasteth thyself
Oh, he-vil man
Playing smart
And not being clever, oh no
I said you're working iniquity
To achieve vanity yeah, if a-so a-so
But the goodness of Jah-Jah
I-dureth for-i-ver

If you are the big tree
We are the small axe
Sharpened to cut you down (Well sharp)
Ready to cut you down, oh, yeah

These are the words
Of my master, keep on telling me, oh
No weak heart shall prosper, oh no they can't, eh, eh

Whosoever diggeth a pit, lord
Shall fall in it, shall fall in it
Whosoever diggeth a pit
Shall bury in it, shall bury in it

If you are the big tree
We are the small axe
Sharpened to cut you down
Ready to cut you down

Eh, whosoever diggeth a pit
Shall fall in it, fall in it, eh
Whosoever diggeth a pit
Shall bury in it, shall bury in it

If you have a big tree
We have a small axe
Ready to cut you down (Well sharp)
Sharpened to cut you down, oh

If you are the big tree, let me tell you this
We are the small axe
Ready to cut you down (Well sharp)
Sharpened to cut you down, oh, yeah"
Bob Marley & The Wailers,One Drop,"Feel it in the one drop
And we'll still find time to rap
We're making the one stop
The generation gap
Now feel this drumbeat
As it beats within
Playing a rhythm
Resisting against the system

I know Jah's never let us down
Pull your rights from wrong
(I know Jah would never let us down)
Oh, no! Oh, no! Oh, no
They made their world so hard (so hard)
Every day we got to keep on fighting (fighting)
They made their world so hard (so hard)
Every day the people are dying (dying), yeah
(It dread, dread) For hunger (dread, dread) and starvation
(dread, dread, dread, dread)
Lamentation (dread dread)
But read it in Revelation (dread, dread, dread, dread)
You'll find your redemption
And then you give us the teachings of His Majesty
For we no want no devil philosophy
A-you give us the teachings of His Majesty
A we no want no devil philosophy

Feel it in the one drop
And we'll still find time to rap
We're making the one stop
The generation gap
Now feel this drumbeat
As it beats within
Playing a rhythm
Resisting against the system

I know Jah's never let us down
Pull your rights from wrong
(I know Jah would never let us down)
Oh, no! Oh, no! Oh, no
They made their world so hard (so hard)
Every day we got to keep on fighting (fighting)
They made their world so hard (so hard)
Every day the people are dying (dying), yeah
(It dread, dread) For hunger (dread, dread) and starvation
(dread, dread, dread, dread)
Lamentation (dread dread)
But read it in Revelation (dread, dread, dread, dread)
You'll find your redemption
And then you give us the teachings of His Majesty
For we no want no devil philosophy
A-you give us the teachings of His Majesty
A we no want no devil philosophy

Feel it in the one drop
And we'll still find time to rap
We're making the one stop
The generation gap
Now feel this drumbeat
As it beats within
Playing a rhythm
Resisting against the system"
Bob Marley & The Wailers,Forever Loving Jah,"We'll be forever loving Jah
We'll be forever loving Jah

Some they say see them walking up the street
They say we're going wrong to all the people we meet
But we won't worry, we won't shed no tears
We found a way to cast away the fears
Forever, yeah!

(We'll be forever loving Jah) We'll be forever
(We'll be forever loving Jah) Forever, yes, and forever!
(We'll be forever loving Jah) There'll be no end

So, old man river, don't cry for me
I've got a running stream of love you see
So, no matter what stages, oh stages
Stages, stages they put us through
We'll never be blue
No matter what rages, oh rages
Changes, rages they put us through
We'll never be blue
We'll be forever, yeah!

(We'll be forever loving Jah)
We'll be forever
(We'll be forever loving Jah)
Forever and ever, yes, and forever
(We'll be forever loving Jah)
'Cause there's no end

Because only a fool lean upon
Lean upon his own misunderstanding, oh, yeah
And then what has been hidden
From the wise and the prudent
Been revealed to the babe and the suckling
In everything, in every day, I say, yeah!

(We'll be forever loving Jah)
We'll be forever
(We'll be forever loving Jah)

Because just like a tree planted
Planted by the rivers of water
That bringeth forth fruits
Bringeth forth fruits in due season
Everything in life got its purpose
Find its reason in every season
Forever, yeah!

(We'll be forever loving Jah)
We'll be forever
(We'll be forever loving Jah)
On and on and on and on
(We'll be forever loving Jah)
We'll be forever, yes, yes we'll be forever
(We'll be forever loving Jah)
We got to be forever"
Bob Marley & The Wailers,So Much Things To Say,"Ooh yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah!
Ooh yeah, yeah!
They got so much things to say right now
They got so much things to say
They got so much things to say right now
They got so much things to say

Eh!
But I'll never forget no way: they crucified Je-sus Christ
I'll never forget no way: they stole Marcus Garvey for rights
Oo-ooh!
I'll never forget no way: they turned their back on Paul Bogle
Hey-ey!
So don't you forget (no way) your youth
Who you are and where you stand in the struggle
They got so very, so very, so very, so very, so very, so very, so very So-so very, they saying everything
They say so much today
They got so much things to say, so much things to say

I'n'I nah come to fight flesh and blood
But spiritual wickedness in 'igh and low places
So while they fight you down
Stand firm and give Jah thanks and praises
'Cause I'n'I no expect to be justified
By the laws of men - by the laws of men
Oh, true they found me guilty
But through - through Jah proved my innocency
Oh, when the rain fall, fall, fall now
It don't fall on one man's housetop. Remember that:
When the rain fall
It don't fall on one man's housetop
They singin': so very much, so very much, oh so very much
So, so very -
They got so much things to say right now;
Yeah, they got so much things to say

Hey, but I'n'I - I'n'I nah come to fight flesh and blood
But spiritual wickedness in 'igh and low places
So while, so while, so while they fight you down
Stand firm and give Jah thanks and praises
I'n'I no expect to be justified
By the laws of men - by the laws of men
Oh, hey through Jah to prove my innocency
I told you wicked think they found me guilty
They got la, la, la, la, la, la, la, la;
La, la, la, la, la, la, la, la;
La, la, la, la, la, la, la, la;
La, la, la, la, la, la, la, la
- they ""la"" very all the time
So much things to say, rumor about
They got the rumor without humor
They don't know what they're doin', yeah"
Bob Marley & The Wailers,Talkin’ Blues,"Yeah! Oh, yeah! Now!

Cold ground was my bed last night (bed last night)
And rock was my pillow, too (doo-oo-oo-oo-oo!)
Cold ground was my bed last night (bed last night)
And rock was my pillow, too, Yeah

I'm saying, Talking blues (talking blues)
Talking blues (talking blues)
They say your feet is just too big for your shoes (shoe-oo-oo-oo-oo)
Talking blues (talking blues), talking blues (talking blues)
Your feet is just too big for your shoes (shoe-oo-oo-oo-oo)

Yeah, I've been down on the rock for so long (so long)
I seem to wear a permanent screw (screw-oo-oo-oo-oo)
I've been down on the rock for so long (so long)
I seem to wear a permanent screw (screw-oo-oo-oo-oo)
But I, I'm going to stare in the sun
Let the rays shine in my eyes
I, I'm a going to take a just-a one step more
Because I feel like bombing a church
Now, now that you know that the preacher is lying
So who's going to stay at home
When, when the freedom fighters are fighting

Talking blues (talking blues)
Talking blues (talking blues)
They say your feet is just too big for your shoes (shoe-oo-oo-oo-oo)
Talking blues (talking blues), keep on talking blues (talking blues)
They say, you hear what they say
Didn't you hear

Cold ground was my bed last night (bed last night)
And rock stone rock stone was my pillow (doo-oo-oo-oo-oo!)
Cold ground was my bed last night (bed last night)
And rock was my pillow, too, Yeah

I'm saying, Talking blues (talking blues)
Talking blues (talking blues)
I seem to wear a permanent screw
Talking blues (talking blues), talking blues (talking blues)
Your feet is just too big for your shoes (shoe-oo-oo-oo-oo)"
Bob Marley & The Wailers,Guiltiness,"Guiltiness (talking about guiltiness)
Pressed on their conscience
And they live their lives (they live their lives)
On false pretence everyday
Each and everyday
These are the big fish
Who always try to eat down the small fish
(These are the big fish)
A just the small fish
I tell you again: they would do anything
To materialize their every wish

Woe to the downpressors
They will eat the bread of sorrow
Woe to the downpressors
They will eat the bread of sad tomorrow
Woe to the downpressors
They will eat the bread of sorrow

Guiltiness
(Talk about guiltiness)
Pressed on their conscience
These are the big fish
(These are the big fish)
Who always try to eat down the small fish
A just the small fish

I tell you what: they would do anything(anything)
To materialize their every wish

Woe to the downpressors
They will eat the bread of sorrow
Woe to the downpressors
They will eat the bread of sad tomorrow
Woe to the downpressors
They will eat the bread of sorrow

Guiltiness
They'll eat the bread of sorrow everyday"
Bob Marley & The Wailers,Punky Reggae Party,"New wave, new craze
New wave, new craze
New wave, new craze
New wave, new craze

Let me tell you
We're going to the party
And I hope you are hearty
So please don't be naughty
For it's a punky reggae party

New wave, new craze
New wave, new craze
New wave, new craze
New wave, new craze

Tell you what!
It take a joyful sound
To make a world go around
Come with your heart and soul
Come on come and rock your boat
Because it's a punky reggae party
And it's tonight
It's a punky reggae party
And it's alright
Oh no
Rejected by society
(do re mi fa)
Treated with impunity
(so la te do)
Protected by my dignity
(do re mi fa)
I search for reality
(So La te Do)

New wave, new craze
New wave, new craze
New wave, new craze
New wave, new craze

Wailers will be there
The Jam, The Dammed, The Clash
Maytals will be there
Dr. Feelgood too, ooh

No boring old farts
No boring old farts
No boring old farts will be there
No boring old farts
No boring old farts
No boring old farts will be there

Well, it's the punky reggae party
And it's tonight Punky reggae party
And it's alright
Oh ah!
A tip from a gypsy (Heh!)
(Do re mi fa)
She said ""Man you getting tipsy""
(So la te Do)
Hiding from reality
(Do re mi fa)
In your world of Hypocrisy
(So la te Do)
In your world of Hypocrisy
In your world of Hypocrisy
In your world of Hypocrisy
In your world of Hypocrisy
Oh let me tell you
A bubble, a bubble, a bubble, a bubble, a bubble, we a bubble and
We aren’t looking for no trouble
So if you trouble
We give it to you double

New wave, new craze
New wave, new craze
New wave, new craze
New wave, new craze

Everybody!
Bounce! Bounce!
Everybody!
Bounce! Bounce!
Everybody!
Bounce! Bounce!
Everybody!
Bounce! Bounce!
Everybody!
Bounce! Bounce!
Everybody!
Bounce! Bounce!
Everybody!
Bounce! Bounce!
Everybody!
Bounce! Bounce!
Everybody!
Bounce! Bounce!
Everybody!
Bounce! Bounce!
Everybody!
Bounce! Bounce!
Everybody!
Bounce! Bounce!
Everybody!
Bounce! Bounce!
Everybody!
Bounce! Bounce!

Hey!
It take a joyful sound
And make the world, make the world go around!
It take a joyful sound
Come to rock your boat
It's a punky reggae party
And it's tonight
Punky reggae party
And it's alright
Groove, groove, groove!
(Do re mi fa)
(so la te do)
(Do re mi fa)
(so la te do)

New wave, new craze
New wave, new craze
New wave, new craze
New wave, new craze

Everybody!
Bounce! Bounce!
Everybody!
Bounce! Bounce!
Everybody!
Bounce! Bounce!
Everybody!
Bounce! Bounce!"
Bob Marley & The Wailers,Mr. Brown,"(Who-oo-oo-oo is Mr Brown?)
Mr. Brown is a clown who rides through town in a coffin
(Where he be found?)
In the coffin where there is three crows on top and two is laughing
Oh, what a confusion; ooh, yeah, yeah
What a botheration; ooh, now, now
Who is Mr. Brown? I wanna know now
He is nowhere to be found

From Mandeville to Sligoville, coffin running around
Upsetting, upsetting, upsetting the town
Asking for Mr. Brown
From Mandeville to Sligoville, coffin running around
Upsetting, upsetting, upsetting the town
Asking for Mr. Brown

I wanna know who..(is Mr. Brown)
Is Mr. Brown controlled by remote?
O-o-oh, Calling duppy conqueror
I'm the ghost catcher
This is your chance, oh big, big Bill bull-bucka
Take your chance, prove yourself; oh, yeah
Down in parade
People running like a masquerade
The police make a raid
Oh, yeah, yeah, yeah, yeah, think it fade
What a thing in town
Crows, chauffeur driven around
Skankiness if they had never known
The man they call ""Mr. Brown""
I can tell you where he's from now

From Mandeville to Sligoville, coffin running around
Upsetting, upsetting, upsetting the town
Asking for Mr. Brown.."
Bob Marley & The Wailers,Africa Unite,"Ziya-po ya-ya, pa-pa-ya-pa!
Ti-da-lee, na po-po pu-du-loo!
Ste-na-peh na-na po po-ro po!
Africa unite
Because we're moving right out of Babylon
And we're going to our Father's land, yea-ea

How good and how pleasant it would be, before God and man, yea-eah!
To see the unification of all Africans, yeah!
As it's been said already, let it be done, yeah!
We are the children of the Rastaman
We are the children of the Iyaman

So-o, Africa unite
Because the children (Africa unite) want to come home. Yea-ea-eah!
Africa unite
Because we're moving right out of Babylon, yeah
And we're grooving to our Father's land, yea-ea
How good and how pleasant it would be before God and man
To see the unification of all Rastaman, yeah
As it's been said a'ready, let it be done! hmm
I tell you who we are under the sun
We are the children of the Rastaman
We are the children of the Iyaman

So-o, Africa unite
Afri - Africa unite, yeah!
Unite for the benefit (Africa unite) for the benefit of your people!
Unite for it's later (Africa unite) than you think!
Unite for the benefit (Africa unite) of my children!
Unite for it's later (Africa uniting) than you think!
Africa awaits (Africa unite) it's Creators!
Africa awaiting (Africa uniting) it's Creator!
Africa, you're my (Africa unite) forefather cornerstone!
Unite for the Africans (Africa uniting) abroad!
Unite for the Africans (Africa unite) a yard!"
